1850,0.69
1851,0.70
1852,0.70
1853,0.71
1854,0.71
1855,0.72
1856,0.72
1857,0.73
1858,0.73
1859,0.74
1860,0.71
1861,0.70
1862,0.69
1863,0.69
1864,0.69
1865,0.69
1866,0.68
1867,0.68
1868,0.68
1869,0.68
1870,0.75
1871,0.78
1872,0.80
1873,0.82
1874,0.84
1875,0.86
1876,0.87
1877,0.88
1878,0.89
1879,0.90
1880,0.89
1881,0.91
1882,0.92
1883,0.93
1884,0.94
1885,0.95
1886,0.95
1887,0.95
1888,0.96
1889,0.96
1890,1.00
1891,1.02
1892,1.04
1893,1.06
1894,1.07
1895,1.08
1896,1.09
1897,1.10
1898,1.11
1899,1.11
1900,1.15
1901,1.18
1902,1.20
1903,1.21
1904,1.22
1905,1.24
1906,1.24
1907,1.25
1908,1.25
1909,1.26
1910,1.24
1911,1.23
1912,1.22
1913,1.22
1914,1.20
1915,1.19
1916,1.18
1917,1.17
1918,1.17
1919,1.17
1920,1.23
1921,1.26
1922,1.28
1923,1.29
1924,1.30
1925,1.31
1926,1.31
1927,1.32
1928,1.32
1929,1.32
1930,1.38
1931,1.43
1932,1.45
1933,1.48
1934,1.50
1935,1.52
1936,1.54
1937,1.55
1938,1.56
1939,1.56
1940,1.59
1941,1.62
1942,1.61
1943,1.61
1944,1.60
1945,1.59
1946,1.58
1947,1.56
1948,1.55
1949,1.52
1950,1.60
1951,1.65
1952,1.67
1953,1.70
1954,1.73
1955,1.76
1956,1.79
1957,1.82
1958,1.85
1959,1.87
1960,1.74
1961,1.66
1962,1.60
1963,1.54
1964,1.48
1965,1.43
1966,1.39
1967,1.36
1968,1.36
1969,1.36
1970,1.32
1971,1.28
1972,1.24
1973,1.21
1974,1.17
1975,1.14
1976,1.12
1977,1.10
1978,1.06
1979,1.03
1980,1.07
1981,1.08
1982,1.10
1983,1.14
1984,1.17
1985,1.19
1986,1.23
1987,1.27
1988,1.29
1989,1.31
1990,1.31
1991,1.32
1992,1.33
1993,1.34
1994,1.33
1995,1.32
1996,1.29
1997,1.77
1998,1.22
1999,1.19
2000,1.31
2001,1.16
2002,1.32
2003,1.37
2004,1.30
2005,1.18
2006,1.23
2007,1.05
2008,1.11
2009,1.54
2010,1.39
2011,1.34
2012,1.40
2013,1.44
2014,1.41
2015,1.55
2016,1.30
